,input_file,sample,processed_sample,processed_sample_(scientific),status,matched_component
5,../data/Kuba/48.ann,6 plain chocolate candy,plain chocolate candy,plain chocolate candy,Component Match,'30350 - bitter chocolate (efsa foodex2):FOODON_03543035'
5,../data/Kuba/48.ann,6 plain chocolate candy,plain chocolate candy,plain chocolate candy,Component Match, 'chocolate candy:FOODON_03400288'
6,../data/Kuba/48.ann,7 candy corn,candy corn,candy corn {zea mays subsp. mays},Full Term Match,'candy corn:FOODON_03302541'
0,../data/Kuba/14.ann,1 garbanzo beans,garbanzo bean,garbanzo {cicer arietinum} bean,Full Term Match,'10540 - chickpeas (without pods) (efsa foodex2):FOODON_03541054'
1,../data/Kuba/14.ann,2 salt,salt,salt,Full Term Match,'salt:CHEBI_24866'
2,../data/Kuba/14.ann,3 garlic,garlic,garlic {allium sativum},Full Term Match,'garlic bulb (whole
2,../data/Kuba/14.ann,3 garlic,garlic,garlic {allium sativum},Full Term Match, raw):FOODON_03305208'
3,../data/Kuba/14.ann,4 cumin,cumin,cumin,Full Term Match,'cumin seed (whole):FOODON_00003396'
4,../data/Kuba/14.ann,5 basil pesto,basil pesto,basil {ocimum basilicum} pesto,Component Match,'basil (whole or parts):FOODON_03000233'
4,../data/Kuba/14.ann,5 basil pesto,basil pesto,basil {ocimum basilicum} pesto,Component Match, 'pesto sauce:FOODON_03310218'
5,../data/Kuba/14.ann,6 lemon juice,lemon juice,lemon juice,Full Term Match,'lemon juice:FOODON_03305428'
6,../data/Kuba/14.ann,7 water,water,water,Full Term Match,'water:CHEBI_15377'
0,../data/Kuba/31.ann,1 banana,banana,banana {musa x paradisiaca},Full Term Match,'cavendish banana (whole
0,../data/Kuba/31.ann,1 banana,banana,banana {musa x paradisiaca},Full Term Match, ripe):FOODON_03311513'
1,../data/Kuba/31.ann,2 maraschino cherry,maraschino cherry,maraschino cherry,Full Term Match,'maraschino cherry:FOODON_03301256'
2,../data/Kuba/31.ann,3 cream,cream,cream,Full Term Match,'cream food product:FOODON_00001216'
0,../data/Kuba/10.ann,1 avocados,avocado,avocado {persea americana},Full Term Match,'avocado (whole
0,../data/Kuba/10.ann,1 avocados,avocado,avocado {persea americana},Full Term Match, raw):FOODON_03305236'
1,../data/Kuba/10.ann,2 tomatoes,tomato,tomato {solanum lycopersicum},Full Term Match,'tomato (whole
1,../data/Kuba/10.ann,2 tomatoes,tomato,tomato {solanum lycopersicum},Full Term Match, raw):FOODON_03309927'
2,../data/Kuba/10.ann,3 red onion,red onion,red onion {allium cepa},Full Term Match,'red onion (whole):FOODON_00003516'
3,../data/Kuba/10.ann,4 white vinegar,white vinegar,white vinegar,Component Match,'vinegar:FOODON_03301705'
4,../data/Kuba/10.ann,5 salt,salt,salt,Full Term Match,'salt:CHEBI_24866'
5,../data/Kuba/10.ann,6 pepper,pepper,pepper,Full Term Match,'sweet yellow bell pepper (whole):FOODON_00003548'
6,../data/Kuba/10.ann,7 extra-virgin olive oil,extra virgin olive oil,extra virgin olive oil,Full Term Match,'olive oil (extra-virgin):FOODON_00002808'
0,../data/Kuba/44.ann,1 heavy cream,heavy cream,heavy cream,Full Term Match,'heavy cream:FOODON_03310795'
1,../data/Kuba/44.ann,2 vanilla,vanilla,vanilla,Full Term Match,'vanilla:NCBITAXON_51238'
2,../data/Kuba/44.ann,3 powdered sugar,powdered sugar,powdered sugar,Component Match,'sugar:FOODON_03420108'
3,../data/Kuba/44.ann,4 butter,butter,butter,Full Term Match,'butter:FOODON_03310351'
0,../data/Kuba/4.ann,1 crescent rolls,crescent roll,crescent roll,Component Match,'roll or bun:FOODON_00002743'
1,../data/Kuba/4.ann,2 swiss cheese,swiss cheese,swiss cheese,Full Term Match,'swiss cheese:FOODON_03303659'
2,../data/Kuba/4.ann,3 cheddar cheese,cheddar cheese,cheddar cheese,Full Term Match,'cheddar cheese:FOODON_03302458'
3,../data/Kuba/4.ann,4 deli ham,deli ham,deli ham,Component Match,'ham food product:FOODON_00002502'
4,../data/Kuba/4.ann,5 prepared mustard,prepared mustard,prepared mustard,Full Term Match,'mustard (prepared):FOODON_03301186'
5,../data/Kuba/4.ann,6 sesame seeds (optional),sesame seed optional,sesame seed optional,Component Match,'sesame seed (whole):FOODON_03310306'
0,../data/Kuba/35.ann,1 salt,salt,salt,Full Term Match,'salt:CHEBI_24866'
1,../data/Kuba/35.ann,2 pepper,pepper,pepper,Full Term Match,'sweet yellow bell pepper (whole):FOODON_00003548'
2,../data/Kuba/35.ann,3 okra,okra,okra {abelmoschus esculentus},Full Term Match,'okra (whole
2,../data/Kuba/35.ann,3 okra,okra,okra {abelmoschus esculentus},Full Term Match, raw):FOODON_03301828'
3,../data/Kuba/35.ann,4 tomatoes,tomato,tomato {solanum lycopersicum},Full Term Match,'tomato (whole
3,../data/Kuba/35.ann,4 tomatoes,tomato,tomato {solanum lycopersicum},Full Term Match, raw):FOODON_03309927'
4,../data/Kuba/35.ann,5 okra,okra,okra {abelmoschus esculentus},Full Term Match,'okra (whole
4,../data/Kuba/35.ann,5 okra,okra,okra {abelmoschus esculentus},Full Term Match, raw):FOODON_03301828'
5,../data/Kuba/35.ann,6 onion,onion,onion {allium cepa},Full Term Match,'allium cepa:NCBITAXON_4679'
6,../data/Kuba/35.ann,7 bacon,bacon,bacon,Full Term Match,'bacon food product:FOODON_00001061'
0,../data/Kuba/26.ann,1 salt,salt,salt,Full Term Match,'salt:CHEBI_24866'
1,../data/Kuba/26.ann,2 mayo,mayonnaise,mayonnaise,Full Term Match,'mayonnaise:FOODON_03301440'
2,../data/Kuba/26.ann,3 celery,celery,celery {apium graveolens dulce group},Full Term Match,'celery stalk (whole
2,../data/Kuba/26.ann,3 celery,celery,celery {apium graveolens dulce group},Full Term Match, raw):FOODON_03301727'
3,../data/Kuba/26.ann,4 eggs,egg,egg,Full Term Match,'egg food product:FOODON_00001274'
4,../data/Kuba/26.ann,5 potatoes,potato,potato {solanum tuberosum},Full Term Match,'potato (whole
4,../data/Kuba/26.ann,5 potatoes,potato,potato {solanum tuberosum},Full Term Match, raw):FOODON_03301449'
0,../data/Kuba/34.ann,1 water,water,water,Full Term Match,'water:CHEBI_15377'
1,../data/Kuba/34.ann,2 vanilla,vanilla,vanilla,Full Term Match,'vanilla:NCBITAXON_51238'
2,../data/Kuba/34.ann,3 condensed milk,condensed milk,condensed milk,Full Term Match,'cow milk (concentrated):FOODON_03301503'
3,../data/Kuba/34.ann,4 baking chocolate,baking chocolate,baking chocolate,Component Match,'chocolate:FOODON_03307240'
0,../data/Kuba/37.ann,1 lettuces (butter),lettuce butter,lettuce butter,Component Match,'butter:FOODON_03310351'
0,../data/Kuba/37.ann,1 lettuces (butter),lettuce butter,lettuce butter,Component Match, 'lettuce head food product:FOODON_00001998'
1,../data/Kuba/37.ann,2 tomatoes,tomato,tomato {solanum lycopersicum},Full Term Match,'tomato (whole
1,../data/Kuba/37.ann,2 tomatoes,tomato,tomato {solanum lycopersicum},Full Term Match, raw):FOODON_03309927'
2,../data/Kuba/37.ann,3 black olives,black olife,black olife,No Match,
3,../data/Kuba/37.ann,4 green olives,green olife,green olife,No Match,
4,../data/Kuba/37.ann,5 Dijon mustard,dijon mustard,dijon mustard,Full Term Match,'mustard (dijon):FOODON_03306361'
5,../data/Kuba/37.ann,6 red wine vinegar,red wine vinegar,red wine vinegar,Component Match,'red wine:FOODON_03310272'
5,../data/Kuba/37.ann,6 red wine vinegar,red wine vinegar,red wine vinegar,Component Match, 'wine vinegar:FOODON_03301228'
6,../data/Kuba/37.ann,7 extra virgin olive oil,extra virgin olive oil,extra virgin olive oil,Full Term Match,'olive oil (extra-virgin):FOODON_00002808'
0,../data/Kuba/25.ann,1 instant oatmeal,instant oatmeal,instant oatmeal,No Match,
1,../data/Kuba/25.ann,2 blueberry,blueberry,blueberry,Full Term Match,'blueberry (whole
1,../data/Kuba/25.ann,2 blueberry,blueberry,blueberry,Full Term Match, raw):FOODON_03302045'
2,../data/Kuba/25.ann,3 almond,almond,almond {prunus dulcis},Full Term Match,'almond (whole
2,../data/Kuba/25.ann,3 almond,almond,almond {prunus dulcis},Full Term Match, raw):FOODON_03301355'
3,../data/Kuba/25.ann,4 chia seed,chia seed,chia seed,Full Term Match,'chia seed (whole):FOODON_00002961'
4,../data/Kuba/25.ann,5 vanilla bean,vanilla bean,vanilla bean,Full Term Match,'vanilla bean (whole
4,../data/Kuba/25.ann,5 vanilla bean,vanilla bean,vanilla bean,Full Term Match, raw):FOODON_03302056'
5,../data/Kuba/25.ann,6 sugar,sugar,sugar,Full Term Match,'sugar:FOODON_03420108'
6,../data/Kuba/25.ann,7 water,water,water,Full Term Match,'water:CHEBI_15377'
7,../data/Kuba/25.ann,8 milk,milk,milk,Full Term Match,'milk:UBERON_0001913'
0,../data/Kuba/8.ann,1 chocolate chips,chocolate chips,chocolate chips,Component Match,'38900 - fries (finger chips) (efsa foodex2):FOODON_03543890'
0,../data/Kuba/8.ann,1 chocolate chips,chocolate chips,chocolate chips,Component Match, 'chocolate:FOODON_03307240'
1,../data/Kuba/8.ann,2 heavy cream,heavy cream,heavy cream,Full Term Match,'heavy cream:FOODON_03310795'
2,../data/Kuba/8.ann,3 egg,egg,egg,Full Term Match,'egg food product:FOODON_00001274'
3,../data/Kuba/8.ann,4 whipped cream,whipped cream,whipped cream,Full Term Match,'whipped cream:FOODON_03302897'
4,../data/Kuba/8.ann,5 vanilla extract,vanilla extract,vanilla extract,Component Match,'vanilla:NCBITAXON_51238'
0,../data/Kuba/28.ann,1 water,water,water,Full Term Match,'water:CHEBI_15377'
1,../data/Kuba/28.ann,2 whole milk,whole milk,whole milk,Full Term Match,'cow whole milk 3.5% fat:FOODON_03310780'
2,../data/Kuba/28.ann,3 strawberry,strawberry,strawberry {fragaria x ananassa},Full Term Match,'strawberry (whole
2,../data/Kuba/28.ann,3 strawberry,strawberry,strawberry {fragaria x ananassa},Full Term Match, raw):FOODON_03301722'
0,../data/Kuba/22.ann,1 brown sugar,brown sugar,brown sugar,Full Term Match,'brown sugar:FOODON_03420156'
1,../data/Kuba/22.ann,2 brown mustard,brown mustard,brown mustard {brassica juncea},Component Match,'mustard food product:FOODON_00002053'
2,../data/Kuba/22.ann,3 dr pepper,dr pepper,dr pepper,Component Match,'sweet yellow bell pepper (whole):FOODON_00003548'
3,../data/Kuba/22.ann,4 Coke,coke,coke,No Match,
4,../data/Kuba/22.ann,5 apple cider vinegar,apple cider vinegar,apple {malus domestica} cider vinegar,Component Match,'apple cider (non-alcoholic):FOODON_03301129'
4,../data/Kuba/22.ann,5 apple cider vinegar,apple cider vinegar,apple {malus domestica} cider vinegar,Component Match, 'apple vinegar food product:FOODON_00001613'
5,../data/Kuba/22.ann,6 ham,ham,ham,Full Term Match,'ham food product:FOODON_00002502'
0,../data/Kuba/9.ann,1 lime (optional),lime optional,lime optional,Component Match,'lime (whole
0,../data/Kuba/9.ann,1 lime (optional),lime optional,lime optional,Component Match, raw):FOODON_03305086'
1,../data/Kuba/9.ann,2 kosher salt (optional),kosher salt optional,kosher salt optional,Component Match,'salt:CHEBI_24866'
2,../data/Kuba/9.ann,3 red grapefruit juice,red grapefruit juice,red grapefruit {citrus x paradisi} juice,Component Match,'grapefruit juice:FOODON_03306174'
3,../data/Kuba/9.ann,4 lime juice,lime juice,lime juice,Full Term Match,'lime juice:FOODON_03306160'
4,../data/Kuba/9.ann,5 limes,lime,lime,Full Term Match,'lime (whole
4,../data/Kuba/9.ann,5 limes,lime,lime,Full Term Match, raw):FOODON_03305086'
5,../data/Kuba/9.ann,6 liqueur,liqueur,liqueur,Full Term Match,'liqueur:FOODON_03301008'
6,../data/Kuba/9.ann,7 ice,ice,ice,Full Term Match,'ice:ENVO_01001125'
7,../data/Kuba/9.ann,8 white tequila,white tequila,white tequila,Component Match,'tequila:FOODON_03304704'
0,../data/Kuba/36.ann,1 flour,flour,flour,Full Term Match,'flour food product:FOODON_00001056'
1,../data/Kuba/36.ann,2 salt,salt,salt,Full Term Match,'salt:CHEBI_24866'
2,../data/Kuba/36.ann,3 baking soda,baking soda,baking soda,Full Term Match,'baking soda product:FOODON_00002385'
3,../data/Kuba/36.ann,4 milk,milk,milk,Full Term Match,'milk:UBERON_0001913'
